fluxsite,vegtype,primary_wd,hc,zr_1,zr_2,start_date,end_date
US-MMS,DB,202.5,27,46,34,2008-01-01,2014-12-31
US-Syv,DB,225,25,36,20,2014-01-01,2017-12-31
US-Whs,SH,225,0.3,6.5,2.1,2007-01-01,2018-12-31
US-Wkg,GR,225,0.4,6.4,3.5,2008-01-01,2018-12-31
US-Ne1,AG,180,NA,5.5,3,2000-01-01,2018-12-31
